lnwage,educ
5.790019,12
5.9524941,11
5.315949,12
5.5959258,12
6.0689149,12
5.7938709,11
6.3891611,11
6.047781,12
5.3548608,11
5.2595968,7
5.2394042,10
5.8745532,12
6.0012722,14
5.508173,12
5.8664141,16
5.729413,12
5.729413,16
5.8094368,8
6.657937,16
6.2892518,9
6.6319261,16
6.0922232,11
5.9719119,3
5.8471608,10
6.2394881,12
6.3578758,12
6.7527452,18
6.047781,10
6.1525278,11
4.9312868,13
3.8839741,12
6.0238671,12
5.4418349,12
6.3325758,10
4.6061311,6
6.5423889,13
4.502584,8
5.8745532,16
4.9298978,12
5.4559569,12
6.0012722,12
6.0922232,17
5.4994431,12
6.6202011,6
6.3578758,12
6.047781,12
5.464891,12
6.6202011,12
5.7601752,12
5.4418349,12
5.0365782,5
6.2888951,12
5.790019,9
5.1653352,8
6.1755872,11
5.522294,8
5.7218871,14
6.465816,8
5.8094549,11
3.484194,11
6.3518591,12
6.3972068,8
4.9720812,12
5.3208399,8
5.075799,7
5.9012141,12
6.105608,17
5.6648951,12
7.1991801,20
5.116621,6
6.4139318,13
5.5959258,8
6.2525339,12
5.790019,12
3.91452,6
5.6582079,4
6.075346,12
5.9967632,8
5.4778299,12
5.9012141,12
6.2147999,13
5.5219612,9
6.5140228,12
5.4418349,19
6.1755872,12
6.163517,12
5.8471608,13
5.3365211,12
6.677495,16
5.2988172,15
6.0372739,12
6.1516471,12
5.8799419,12
6.1347742,8
5.729413,10
5.729413,13
6.0597801,8
5.729413,11
5.9494901,12
5.5012579,4
4.1934352,6
6.2529039,12
6.3906598,18
6.4031601,8
5.729413,17
5.5742722,8
5.511972,8
6.1064658,12
5.6574888,7
6.25563,13
5.2083302,14
5.0151119,12
5.5242572,12
5.2595968,8
5.790019,7
5.940434,12
5.9339762,12
6.512002,12
6.3619499,8
5.2893491,9
7.0509391,12
6.0742402,9
6.3578758,12
6.1326561,18
6.0294361,8
5.9116821,8
6.512002,12
5.0189338,12
6.0750961,10
5.9878521,14
5.5218449,12
5.9524941,2
6.6653161,16
5.9012141,12
6.1423059,17
5.9524941,16
6.0922232,14
6.4686041,18
6.5024462,12
6.014215,16
5.376904,12
5.1762581,12
5.9150028,9
5.6786962,16
5.9012141,11
5.8057718,12
5.2344451,8
5.0420508,8
6.1875138,11
5.8911662,6
6.1347742,12
5.8636861,12
5.116621,12
5.1065278,6
5.9041028,12
3.8340609,7
6.0238161,12
5.1816759,7
6.086,11
6.0523829,15
6.032537,9
5.5959258,12
6.097075,8
5.8471608,12
6.2163372,12
6.0012722,17
5.97718,12
6.3970962,12
5.0365782,10
4.7238078,8
5.5218449,12
6.306591,12
5.181159,8
6.242485,12
6.9910178,12
6.485662,13
4.9994621,10
4.9573159,12
6.1755872,12
6.6706929,19
5.2595968,16
5.9524941,14
5.9524941,16
6.2409878,12
5.7450042,11
6.3433361,20
5.5959258,12
5.7686329,12
5.3931899,12
5.2270899,12
5.9921851,12
6.0974259,14
5.6976738,12
6.1937671,14
5.0139632,8
5.4826398,8
5.8097682,12
5.5959258,12
5.2891412,12
5.5735421,9
5.8471608,12
4.8810639,12
5.5684352,18
6.1755872,14
6.4037399,18
6.1739941,12
6.6202011,16
5.5218449,9
6.2070799,19
6.4830189,16
6.1918511,18
5.7686329,9
5.98592,13
5.5264478,12
6.1347742,12
5.9271822,10
5.8471608,12
6.1347742,18
6.163517,12
5.790019,16
-0.73236799,8
6.250309,17
6.848434,16
5.635819,12
6.5942292,12
6.0826139,12
5.5218449,12
6.405705,16
5.2595968,12
5.961947,10
6.024332,12
6.4066582,16
5.8959379,12
6.2147999,11
5.288898,13
5.3548608,2
5.7528782,11
5.5218449,10
6.4564981,17
6.0922232,12
6.2451,12
6.891118,19
6.3578758,11
6.2525339,13
6.7061329,17
5.5959258,12
6.3665028,13
6.2888951,13
5.9907432,11
6.024797,16
6.5091419,12
5.790019,12
6.1755872,12
5.978642,12
6.5457091,16
6.457705,12
6.512002,17
5.7485962,16
6.5401688,16
5.9524941,12
5.9056339,12
6.047781,12
6.1755872,16
4.9031358,16
6.2147999,15
6.1583018,12
6.374402,12
5.4418349,9
5.5595722,11
6.1755872,12
6.2451,14
6.2151079,6
5.7601752,12
6.3578758,11
6.3174081,12
6.306591,16
5.3548608,7
6.1250939,17
6.2079911,11
6.3578758,12
6.2802882,11
5.790019,12
5.7659912,7
5.6648951,14
6.1735859,12
6.0922232,19
5.9697628,8
6.360538,6
5.939918,6
5.5219612,12
6.9419708,11
5.841033,12
5.790019,12
6.3135829,14
6.0012722,16
5.5218449,12
6.5726862,12
6.0577288,14
5.4749808,10
5.6648951,9
6.5528641,16
5.978642,14
6.144309,12
5.9919639,12
6.1347742,12
5.9012141,12
6.047781,12
6.1755872,12
6.817347,16
5.6355038,12
5.52246,16
5.7601752,11
5.2595968,17
6.2525339,12
6.336565,7
6.2147999,11
6.1347742,19
5.8474388,13
6.7105932,16
5.6768198,15
5.937891,10
6.214808,12
6.4923859,16
6.093092,12
5.7053838,12
6.047781,8
6.1347742,12
6.1755872,14
5.5383539,16
6.2113342,12
1.410987,14
6.3135829,16
6.1871181,12
6.085681,11
6.0541229,12
6.1885209,17
5.9223819,12
5.5218611,13
5.8471608,12
7.107945,17
5.24753,12
6.0870018,17
4.9063029,8
4.5208292,10
5.8471608,17
3.310683,7
5.4418349,13
5.9524941,13
5.6648951,12
6.0007958,10
6.1152129,10
5.9524941,11
6.2383618,12
6.306355,12
6.2708788,12
5.98592,16
5.9012141,12
5.9524941,14
5.3300209,12
5.9168758,12
5.7073021,16
5.423048,9
5.729413,14
5.8403692,11
6.8114352,14
6.512002,14
5.8901019,12
3.558913,10
5.6240869,13
4.9031358,10
6.2184639,17
5.2505598,7
5.8471608,12
5.6770391,8
5.308363,8
6.2888951,16
6.3971381,20
5.9524941,12
5.0365782,8
5.4010301,12
6.2737842,12
6.512002,12
6.0340538,12
5.729413,12
6.347827,12
5.2754622,8
6.1703949,18
5.9012141,12
5.9524941,12
5.7394481,16
6.5028191,16
5.8471608,12
5.6648951,12
5.8415918,14
6.1755872,12
6.3578758,12
5.729413,15
6.2147999,12
6.3239799,16
6.9639359,12
6.047781,14
6.1488771,6
6.3118401,14
6.0671992,12
5.5528851,8
5.3940821,12
6.096561,14
5.6648951,16
6.0922232,12
5.788836,12
3.365304,7
6.2197871,14
6.172266,12
5.704103,12
5.729413,8
5.9199791,18
7.2740002,19
5.4418349,12
6.2147999,14
6.3867211,7
5.011302,13
4.7883248,2
5.2595968,12
5.0551429,12
4.4472842,12
6.2888951,16
6.0922232,12
5.8224912,12
5.9524941,12
6.0922232,12
6.3578758,12
6.0535898,12
5.8959379,0
5.9524941,12
6.0432258,19
6.097075,12
6.1795788,12
4.7999139,13
6.1755872,13
5.790019,13
5.4418349,11
6.0012722,8
3.7495041,13
5.8096428,12
6.047781,12
5.4866309,8
6.1675568,12
6.5401688,20
5.9524941,14
5.729413,9
6.2737842,12
5.9888172,12
6.047781,13
5.8471608,17
5.8098159,16
6.4224038,20
6.1755872,17
4.922554,12
5.4418349,17
6.3578758,18
6.1289248,12
7.2740002,20
6.8686352,18
6.2376108,12
6.5292778,20
6.9639359,16
5.9317861,17
6.1347742,12
6.0922232,10
5.2988172,12
6.2525339,12
6.52493,12
7.2740002,20
6.3906598,18
6.512002,14
5.2595968,12
6.6455159,20
7.2740002,17
5.5218611,12
6.0523152,16
5.2705312,9
5.5218768,12
6.3239799,12
5.8427081,12
6.1953859,11
6.047781,12
6.6455159,14
5.729413,13
5.075799,10
5.4418349,12
5.9215269,14
5.2708611,10
5.6378751,12
6.1755872,13
7.2740002,16
5.2987981,18
5.4810562,12
3.7008269,12
5.3457332,12
7.0439782,12
6.4830189,17
5.5959258,12
5.8990412,10
7.2740002,12
5.508173,11
5.9524941,10
5.3182158,10
6.6455159,12
6.4905338,19
6.3970962,20
5.7168379,9
6.2813902,8
5.6648951,13
6.5401688,16
5.6648951,12
6.2888951,10
5.8745532,16
6.0012722,20
6.2888951,12
6.2525339,9
6.6392469,19
6.047781,12
5.8853021,12
7.221653,12
6.7632852,12
5.966403,12
5.9012141,9
6.1755872,14
5.6648951,12
6.2525339,12
6.6405039,12
5.193512,16
6.9639359,16
6.4224038,20
6.0922232,12
5.4418349,14
5.7842102,12
6.0182662,12
6.2888951,12
6.4830189,12
6.7632852,16
6.3578758,13
5.3548608,14
6.1614909,12
6.0613222,20
5.5218449,12
6.7408152,18
5.9524941,12
6.806766,12
5.8172832,11
6.1755872,20
5.6086969,18
5.0365782,15
6.3578758,16
6.2525339,12
7.2740002,18
6.5401688,15
6.2525339,16
6.1755872,16
6.6455159,12
6.4379048,12
4.8303118,13
5.5059242,12
5.6648951,10
5.4418349,12
6.7852621,15
3.2227149,9
5.8094759,12
6.1755872,17
6.512002,18
6.11797,15
6.4830189,16
5.5218449,10
6.1347742,16
6.588953,19
6.4224038,12
6.4224038,18
5.4418349,8
5.6648951,12
6.4569702,10
5.224978,9
6.3578758,12
5.930254,13
5.790019,12
5.9524941,17
6.2147999,12
5.729413,12
5.8964672,8
5.0936322,14
5.5218449,12
6.827817,16
6.4330578,19
5.991715,12
6.2551222,16
5.9345999,12
6.5401688,14
6.6203508,16
5.5218449,12
7.1076298,16
5.9524941,11
5.9987302,6
6.1755872,12
6.8785839,19
6.6565838,19
5.6648951,16
5.6648951,12
6.3205261,19
5.5625291,12
6.3578758,14
6.6755562,19
5.5295048,12
6.2665071,14
5.8471608,14
6.9455881,13
5.9524941,12
5.8564739,13
7.2526112,10
6.2948432,16
5.5219612,12
3.9589801,19
7.2740002,20
5.2988172,14
6.4161348,18
6.7714729,13
5.8471608,16
5.6009121,14
6.047781,18
6.3578758,12
6.6455159,16
5.7488308,16
5.8471608,12
5.9524941,11
6.3578758,14
6.1347742,17
6.1034622,16
6.2147999,16
7.2740002,18
3.848335,12
6.6455159,12
6.0012722,12
6.1137252,14
5.2595968,12
6.0012722,20
5.9606371,10
5.9524941,12
6.9848089,12
7.2740002,20
6.5379448,20
5.7888422,12
6.1200862,14
6.1128521,17
5.7449379,10
6.1755872,12
5.9524941,12
6.5024462,20
6.567565,14
6.39709,16
5.9012141,13
6.3906598,12
6.0012722,12
6.2330899,10
6.6072998,19
5.8094549,12
5.5966401,14
6.4224038,14
5.790019,12
5.3548608,11
6.1508899,12
6.214808,13
5.6648951,13
6.3239799,12
6.4531708,14
6.0702491,14
5.790019,12
5.4418349,13
5.9524941,12
6.2636361,12
6.047781,11
3.365304,19
6.8686352,18
6.0922232,11
7.6419239,16
5.729413,12
6.032537,10
5.011302,12
5.5218449,10
6.3580418,10
6.6455159,16
6.2338452,14
6.6500731,20
4.3216462,12
6.2148581,6
6.2413621,16
5.9524941,14
6.2888951,12
3.404525,11
6.3114901,8
6.369802,20
6.6455159,12
6.0135741,14
5.6912041,8
5.3566771,12
6.2147999,13
6.1739941,13
5.5595722,4
5.6648951,13
6.040493,10
5.8471608,14
7.2740002,14
5.8471608,19
6.600471,12
6.5401688,12
5.8696771,16
5.7041159,12
6.163578,8
6.160274,16
5.6648951,15
6.2525339,13
6.4543819,12
5.7450042,12
5.87779,12
5.81144,13
5.7716212,12
5.2383838,12
6.0878668,12
5.8471608,12
4.9083562,12
6.1280861,12
5.2595968,12
6.2725139,12
4.749104,12
6.5942292,16
5.1542921,16
4.9340591,7
7.1425991,16
5.790019,12
6.374402,12
6.731225,16
7.2740002,8
5.9624419,12
5.9373841,15
5.188138,12
5.4418349,12
6.2525339,13
6.0657959,12
6.4255228,16
5.6648951,12
5.6378751,13
6.3891611,12
6.047781,16
6.2888951,8
6.5942292,13
5.6648951,12
6.0922232,12
6.081296,12
5.9524941,12
5.8471608,10
6.1347742,14
6.0450511,8
6.580986,14
6.306591,12
6.3578758,18
5.8471608,11
5.7659912,11
4.8741689,10
6.8686352,20
6.047781,14
7.2740002,20
6.4409771,15
4.0567889,13
6.872232,14
6.1347742,12
6.1347742,12
5.3548608,12
5.6648951,14
6.2525339,16
6.3805461,14
5.5218449,12
5.6648951,9
5.8286629,8
6.1553888,12
6.3578758,20
6.0012722,12
6.2148581,12
6.047781,12
4.57166,12
6.2147999,14
5.6648951,8
6.1755872,12
6.047781,14
4.869072,9
4.5669489,8
5.4910021,12
5.3285689,13
5.9604602,16
6.0870018,12
5.9524941,12
6.047781,12
5.000164,10
5.9012141,12
5.4810562,17
6.302372,16
5.8337421,14
5.3114262,12
6.0340538,9
6.038651,12
5.5199599,12
5.8132691,18
5.843823,12
5.9012141,12
5.622942,8
5.5218449,12
6.040493,14
4.969162,14
6.3906598,18
6.6943002,16
7.0509391,17
7.1154728,15
5.9524941,13
5.9012141,12
6.6455159,15
5.9524941,12
7.1886601,16
5.7958822,12
6.907948,19
7.2934179,18
7.2740002,12
7.1309762,16
7.0184188,16
6.806766,18
7.3540421,16
5.9917769,20
7.2740002,20
6.2592769,20
6.7632852,16
5.6310048,10
6.4224038,17
5.2208748,9
5.9524941,10
6.1137252,12
5.7631998,10
5.8051929,7
5.6648951,12
6.3578758,12
5.9808102,13
4.6479902,12
4.9031358,16
6.9079118,13
5.6648951,12
6.0012722,11
5.5959258,14
6.0651259,7
5.8471608,14
6.2888951,18
5.0365782,0
6.3578758,16
5.8189979,12
6.2327118,10
6.353199,12
6.289609,16
6.7632852,16
6.3209481,16
5.2595968,9
6.6455159,17
5.9499912,18
6.1819658,13
6.7439909,16
5.5595722,11
5.5959258,12
6.0535898,12
6.047781,12
5.8471608,10
5.9941049,12
5.6688032,3
6.1755872,12
6.657937,17
6.2147999,11
5.9524941,12
5.6688032,12
5.5218449,17
7.0509391,20
5.9539919,11
5.4418349,12
5.9017401,16
5.3396392,10
6.1072049,12
6.2372351,15
5.6648951,10
5.9524941,12
6.9078512,16
6.6455159,18
5.729413,16
6.1347742,12
6.0053978,18
5.4882221,17
6.4224038,14
5.9742498,12
5.5340729,9
6.2147999,12
6.1755872,12
6.2917538,8
5.7449379,12
5.8314881,12
5.6310048,14
6.0922232,14
5.8098159,13
5.9604602,12
6.3578758,14
5.8471608,12
5.8471608,10
5.2009382,12
6.827817,16
6.3578758,12
5.6648951,12
6.0012722,12
5.193512,12
3.2965491,12
5.7686329,12
5.5218449,6
6.194201,10
6.5514369,8
6.2148862,10
5.9524941,12
6.6442652,14
6.0030451,17
6.5942292,12
6.1553888,12
6.1755872,20
5.4418349,12
5.4418349,12
5.9524941,12
5.4418349,8
5.2394042,12
5.2344451,0
6.2888951,12
5.8869052,16
6.3322201,12
6.047781,12
6.4224038,10
5.607286,12
6.154192,12
6.047781,12
5.9524941,9
5.7781882,12
6.4101429,12
5.729413,10
5.779377,12
5.958683,14
6.3906598,12
5.1088548,12
6.1755872,12
5.991715,8
5.6514769,10
5.3548608,15
4.607091,12
5.5218449,7
5.2595968,15
5.6759691,14
6.1259871,16
6.4224038,12
4.9031358,8
5.7155719,6
5.790019,12
3.00072,3
5.9012141,10
5.9524941,14
6.040493,12
4.6479902,8
5.4874272,4
5.790019,9
5.8980522,12
5.8471608,12
5.726284,12
5.8011298,12
5.445899,17
6.3578758,12
5.8129358,14
5.6648951,12
5.790019,12
7.418581,4
5.3940821,4
5.6319962,5
5.4418349,12
6.1553888,12
4.8291469,9
4.0271358,10
5.9012141,12
5.8097682,16
6.3578758,16
6.8459821,13
6.589746,16
5.3821988,11
6.0012722,12
6.3578758,15
3.8984699,8
5.9012141,12
5.784121,12
-0.980829,12
5.5363498,12
6.512002,17
6.047781,12
5.7041988,10
5.2595968,12
5.8404741,6
5.058815,11
5.1215572,6
6.5621452,12
5.8817539,16
5.4418349,19
5.4418349,12
6.1347742,15
5.4418349,4
5.5016508,5
4.7289181,12
5.075799,8
5.2595968,3
6.0680251,18
5.729413,12
5.5218449,9
4.8778362,11
6.1783829,12
5.9524941,20
6.4853692,11
5.6648951,9
6.783957,17
6.4031601,14
6.3562078,20
6.6455159,20
5.6904278,12
5.7162051,18
5.704103,11
6.4531708,12
6.131444,12
6.0012722,12
4.607667,3
6.512002,14
5.3056769,5
5.7547069,12
5.3063211,8
5.568418,16
6.4483109,17
4.461699,12
5.449338,13
5.9524941,19
5.790019,12
6.5539608,8
5.6648951,12
6.0922232,14
5.9524941,12
5.8404741,12
5.5218449,12
6.3239799,12
5.9116821,12
5.9142818,13
5.9524941,8
4.9031358,12
5.8269639,10
5.775208,12
6.2636361,8
5.4418349,12
6.192245,12
5.9639249,12
5.9524941,12
5.3992929,8
5.6648951,8
5.729413,8
5.8471608,12
6.4731941,12
6.7721338,12
5.4624462,12
6.2525339,12
7.2050781,12
5.7212572,12
5.9012141,14
5.7418308,12
5.5218449,16
5.9524941,12
5.9830151,12
6.0121622,7
6.332562,19
5.697022,12
6.4531708,20
5.950727,14
6.2913909,16
6.1227121,12
5.1018581,12
7.2740002,17
5.4060731,12
5.8471608,12
5.9524941,13
6.1347742,12
6.1347742,12
6.215569,19
5.9012141,9
5.0365782,8
5.43431,8
6.321218,18
5.790019,12
5.729413,11
5.5310302,12
6.0012722,12
5.8745532,8
6.047781,12
5.8745532,14
6.1950049,14
6.2888951,12
5.5218449,8
6.305933,14
5.6508012,12
5.991715,11
5.0365782,8
6.4830189,8
5.4418349,12
0.60263318,12
5.9348431,11
5.6648951,8
5.0602188,14
6.1347742,12
6.3483481,12
6.1265569,16
6.3427639,16
6.758965,12
6.253274,11
6.512002,16
5.91433,8
5.6648951,12
5.729413,10
5.8189979,12
5.7601752,8
5.6648951,12
5.9012141,12
5.6648951,12
5.2595968,8
6.3528638,12
5.927259,8
6.2402382,18
5.3817568,8
5.9524941,12
5.8471608,12
5.3817568,13
6.2147999,12
6.1755872,14
4.0567889,13
5.5959258,12
6.0041242,12
4.9437008,12
5.7631998,12
5.8471608,12
4.477118,8
5.2764449,12
5.9012141,13
7.3540421,12
5.5959258,9
6.1755872,6
5.5595722,12
6.4317341,12
5.4810562,12
5.8094549,20
5.9524941,16
6.0395679,8
5.6648951,12
5.5218449,12
5.3602991,12
5.9920888,6
6.267602,14
5.8653231,12
5.5959258,9
5.790019,12
6.6455159,10
6.099154,12
6.047781,7
6.0012722,12
6.0432258,12
5.9424462,12
5.5218449,12
5.5218449,12
4.5196729,12
7.2740002,16
5.4418349,12
6.3578758,12
6.4830189,12
5.8471608,12
6.512002,2
5.6648951,12
5.1751709,8
5.729413,12
5.4418349,8
4.9072752,12
5.456717,11
5.927259,9
5.6648951,14
5.729413,12
6.2888951,12
5.5219612,9
3.6951101,12
7.2740002,12
6.7178278,12
5.2595968,19
5.8687978,12
6.9639359,15
5.7168179,12
6.3578758,16
5.9815602,12
5.4731712,12
4.096426,12
5.9404449,12
5.3277812,8
6.327765,12
5.5887599,12
5.5222301,10
5.2790151,12
5.729413,16
6.0495968,12
5.6648951,11
3.5730481,12
5.4418349,16
6.2540212,12
4.201489,10
5.729413,12
6.0581789,11
6.3083129,12
6.2147999,12
4.9965358,5
6.4604158,12
5.9993658,8
5.6648951,11
4.8432021,10
6.6455159,17
5.9920888,12
5.9424462,12
5.9524941,12
6.1755872,12
5.5218449,12
6.446178,10
6.0012722,16
6.2948432,12
3.6326399,13
6.320219,16
5.9921851,12
6.4224038,12
5.8665791,12
6.0878668,12
5.5218768,13
6.374402,15
4.6213841,0
6.1739941,10
5.9474831,12
5.8095002,17
6.4531708,12
6.2636361,12
5.7722201,8
5.4301038,12
5.9722919,11
6.0354352,10
6.3162618,13
6.5942292,20
6.1095252,12
5.9524941,13
5.8700619,8
5.9524941,12
5.9474831,12
5.6648951,15
6.3970962,12
5.7528782,13
5.8696771,12
5.790019,12
6.8429089,16
5.7002511,14
6.5401688,16
5.9719119,12
5.852015,12
5.8582902,8
6.347827,12
6.1755872,11
6.214808,12
6.4771199,12
6.19067,17
5.5218449,6
6.1795788,14
6.512002,12
6.1671538,12
6.1923618,12
6.0123172,12
5.9524941,12
4.954607,16
6.2413621,18
5.981256,12
6.3170609,12
5.8879719,12
6.4148769,12
6.1347742,12
5.35953,11
6.2888951,9
5.729413,12
5.8471608,13
6.512002,16
5.8783278,12
2.1008451,12
5.849442,12
6.2888951,12
6.1755872,12
4.3845239,8
5.9235868,12
6.0554771,12
5.9524941,14
6.5942292,19
5.4542518,8
6.086556,12
6.5401688,12
6.013104,12
6.2888951,12
5.0365782,15
5.684691,12
6.0012722,9
5.9266701,10
5.6970291,9
5.9636512,8
5.8906341,12
6.320219,14
5.991715,12
5.3598828,11
6.0922232,14
5.8471608,9
6.7256842,12
5.7547598,12
6.0495968,12
6.9869318,12
5.4624462,17
6.2734919,19
5.7287879,9
6.4380021,12
8.1619463,12
5.6648951,12
7.09091,14
5.9271822,8
5.1737099,12
5.790019,6
6.2147999,14
6.575192,13
6.2413621,6
6.0340538,20
6.0922232,12
5.516448,12
5.1655002,10
5.3817568,12
5.4418349,6
6.8686352,18
5.2595968,12
5.8696771,5
5.6648951,12
6.0869932,12
5.7187338,14
5.9534931,12
6.2147999,12
5.4488902,10
5.3630061,16
5.5008659,12
5.5644369,10
6.0012722,13
5.9524941,10
5.2083302,16
5.9524941,12
4.8638291,12
5.8734708,12
6.16291,11
6.0349751,8
6.0523152,18
5.1542921,14
4.6555462,8
6.5454931,20
5.790019,12
5.729413,12
5.729413,12
5.8799419,15
5.8132691,16
6.5920448,20
5.9524941,12
6.0107489,12
6.007905,18
5.2595968,8
6.047781,8
6.9698758,10
5.903316,12
5.4418349,13
5.5416412,12
6.4632692,17
6.1755872,12
5.8471608,12
6.1660681,11
6.3906598,12
6.047781,11
6.1755872,10
5.6833839,12
6.9756832,12
6.1166978,14
6.047781,11
6.1094608,12
6.3374028,14
6.127667,12
6.1347742,11
4.607667,12
6.340054,8
6.0870018,16
5.4689522,12
6.2917538,12
5.8471608,12
6.047781,12
5.2600961,13
6.032671,12
6.2262712,11
7.2740002,16
5.8471608,6
5.1053629,12
5.6648951,13
3.850812,12
6.047781,12
6.3325758,15
5.6648951,11
6.1408849,12
5.9444642,14
6.9548039,14
6.2147999,12
4.0895252,12
5.4842381,12
5.5872488,12
5.8471608,12
5.9747391,12
6.0312858,8
5.226284,8
6.1755872,18
6.6455159,18
6.3578758,12
6.6455159,15
6.3153229,12
5.0709028,18
6.2569671,16
6.047781,10
5.9801021,9
6.7178278,15
6.0505042,12
5.7485962,11
6.2342181,7
4.9861722,12
9.5326052,20
6.0922232,14
6.0012722,12
6.4531708,8
6.8884349,19
6.4224038,13
6.2889538,13
6.4123549,12
6.3183541,8
5.7451038,12
6.1755872,20
6.568253,18
5.7162051,11
5.2988172,20
6.6455159,11
5.7090878,0
6.0012722,18
5.8700619,12
6.2525339,14
7.2740002,16
7.1217031,10
6.512002,12
6.0606952,12
6.3239799,10
5.7098541,12
6.8831878,18
6.4224038,13
6.0913529,12
6.0432258,12
6.2888951,13
5.6648951,12
5.8863821,13
6.6711812,18
6.1755872,9
5.6273208,12
6.3119569,10
6.6455159,16
5.498507,12
5.729413,12
7.0837269,18
5.610106,13
6.6329389,16
6.4455538,17
6.0702491,12
6.2159529,10
5.7034621,20
6.1560712,12
6.7408528,19
6.9729848,16
6.2888951,9
6.4531708,12
6.2888951,17
6.6036568,14
5.9979339,16
6.6455159,18
5.537107,10
6.0012722,14
5.4810562,14
5.6648951,9
6.7632852,17
6.589458,18
5.729413,12
6.4583082,11
5.4418349,12
5.9524941,16
6.2147999,15
5.7041988,12
7.1760931,12
6.0280471,12
6.0012722,13
5.7041159,14
6.2547531,10
6.1582408,10
6.3483181,12
6.3339319,14
5.4418349,15
7.2740002,20
6.907855,12
4.3440552,14
6.145853,12
6.0922232,8
5.7168379,16
5.790019,10
6.3578758,12
7.0509391,12
6.3048348,13
5.9524941,12
6.9043841,12
6.1162739,16
6.0098052,12
5.5032191,14
5.9524941,16
6.519403,16
5.9698381,13
6.0173521,12
5.7662148,12
6.024797,15
6.5702629,16
6.3013148,12
6.3578758,16
6.7632852,16
6.4224038,20
5.9524941,12
5.9524941,10
6.4224038,12
6.2147999,14
6.3906598,8
5.9524941,13
6.1347742,15
7.2740002,17
5.9271822,8
6.1553888,10
6.306591,9
6.6455159,16
5.8471608,12
6.0922232,7
5.9524941,8
5.6171212,8
6.512002,17
6.369143,14
6.2147999,12
6.338696,12
5.9524941,12
5.545568,16
5.7595692,12
6.6455159,12
7.2740002,16
6.172266,13
5.2988172,17
5.899107,12
6.0294361,14
6.3578758,12
6.2525339,12
6.7865648,17
7.2740002,16
6.926898,18
6.5534129,14
5.6310048,12
6.4224038,12
5.9524941,12
6.526185,19
6.0935259,12
6.0154529,12
6.3578758,10
5.4165282,12
5.9524941,12
6.131444,12
6.4224038,12
6.2162728,18
6.1626568,8
6.2525339,8
6.5125742,18
6.0922232,9
5.9524941,12
5.4810562,12
6.1406922,20
5.8895702,12
6.047781,13
5.6365051,12
5.7449379,3
6.512002,20
5.9636512,3
6.1755872,12
5.2595968,8
6.3906598,12
6.0012722,12
4.0567889,10
5.991715,12
6.2849588,16
5.0365782,8
7.1627698,12
6.5921221,15
6.1755872,12
6.047781,12
6.7632852,13
6.3578758,11
6.4224038,15
6.6450162,18
6.2216978,18
5.0112758,12
6.2149649,12
5.092452,16
4.9586668,12
5.416563,19
5.9722919,14
6.6455159,17
6.5401688,16
6.154192,17
6.0012722,12
5.9639249,12
4.3845239,8
6.592093,12
6.6202011,19
5.1772079,0
5.4548941,14
5.2595968,14
5.7769971,17
3.2965491,12
5.729413,8
5.729413,12
6.4531708,18
5.5218449,12
6.6054802,12
5.6433382,12
5.7269101,12
7.2332468,4
6.5756388,17
5.749711,12
5.0551429,20
6.407927,11
5.729413,12
6.2178721,12
5.729413,12
5.4418349,9
5.7073021,9
6.3578758,13
5.4418349,11
5.8471608,10
5.6648951,12
5.7662148,7
4.749104,12
5.6058731,12
6.3593822,20
6.1521192,12
5.8471608,12
6.512002,16
6.1322708,16
6.0432258,12
5.460649,8
6.5942292,12
5.3396392,12
6.0922232,12
5.0853381,16
6.2016401,14
4.7882929,12
6.512002,13
5.8117871,7
5.5218449,12
5.4418349,11
7.2740002,16
6.047781,5
5.8981838,12
6.3841891,12
6.047781,10
6.0922232,11
6.4531708,18
5.9524941,15
6.1965618,12
5.9524941,11
6.163578,12
5.9101191,19
4.9423561,10
6.2525339,17
4.6061311,3
5.909101,17
6.2150249,12
6.3578758,12
5.5742722,12
7.3201752,16
6.827817,12
6.1347742,6
5.4224901,10
5.4418349,7
5.0971661,4
6.290678,12
6.0327859,10
4.5261688,20
6.2888951,6
6.3578758,12
5.6273208,3
5.747983,20
6.827817,19
6.4531708,4
5.8471608,12
5.793541,14
6.1347742,13
6.2888951,12
5.7041159,16
6.1739941,12
6.512002,13
5.8471608,11
5.4992938,11
5.1542921,7
6.402204,12
6.211719,11
6.438828,12
6.0878668,9
5.6702561,9
5.9639249,12
5.2774282,1
5.3548608,2
5.790019,16
5.012023,2
5.6759691,6
6.8860631,6
6.0801969,12
4.7883248,8
5.8745532,11
3.6521561,14
4.3518901,12
7.250185,16
7.2862601,15
6.047781,12
6.827817,12
5.729413,14
6.2342219,15
6.493259,12
6.1347742,12
6.6455159,16
5.98592,12
5.966886,12
7.2740002,18
7.1074729,15
6.7113352,10
5.0365782,12
6.1077509,11
6.0012722,14
6.3780022,13
6.0922232,19
6.4939008,16
5.5218768,14
5.4418349,8
